TimeStamp,RAW
2021-11-05T14:01:55.0581000Z,T|117363||151.58|64||1636120915.0581|||||||||
2021-11-05T14:01:55.0581000Z,T|117365||151.58|36||1636120915.0581|||||||||
2021-11-05T14:01:55.0581000Z,T|117368||151.58|14||1636120915.0581|||||||||
2021-11-05T14:02:00.1425000Z,T|117515||151.6|1||1636120920.1425|||||||||
2021-11-05T14:02:00.1425000Z,T|117522||151.61|100||1636120920.1425|||||||||
2021-11-05T14:02:00.6810000Z,T|117590||151.63|105||1636120920.681|||||||||
2021-11-05T14:02:00.6810000Z,T|117592||151.63|100||1636120920.681|||||||||
2021-11-05T14:02:00.6810000Z,T|117601||151.64|100||1636120920.681|||||||||
2021-11-05T14:02:00.6810000Z,T|117603||151.64|500||1636120920.681|||||||||
2021-11-05T14:02:01.4599000Z,T|117653||151.65|100||1636120921.4599|||||||||
2021-11-05T14:02:02.2773000Z,T|117702||151.66|42||1636120922.2773|||||||||
2021-11-05T14:02:02.2773000Z,T|117704||151.66|100||1636120922.2773|||||||||
2021-11-05T14:02:02.2773000Z,T|117706||151.66|100||1636120922.2773|||||||||
2021-11-05T14:02:02.9594000Z,T|117771||151.67|100||1636120922.9594|||||||||
2021-11-05T14:02:04.7726000Z,T|117856||151.68|73||1636120924.7726|||||||||
2021-11-05T14:02:05.3628000Z,T|117893||151.68|22||1636120925.3628|||||||||
2021-11-05T14:02:05.7440000Z,T|117915||151.68|100||1636120925.744|||||||||
2021-11-05T14:02:06.0168000Z,T|117934||151.68|3||1636120926.0168|||||||||
2021-11-05T14:02:08.0297000Z,T|118084||151.69|8||1636120928.0297|||||||||
2021-11-05T14:02:08.0297000Z,T|118086||151.69|200||1636120928.0297|||||||||
2021-11-05T14:02:08.0297000Z,T|118098||151.69|100||1636120928.0297|||||||||
2021-11-05T14:02:08.3189000Z,T|118134||151.69|100||1636120928.3189|||||||||
2021-11-05T14:02:08.3189000Z,T|118135||151.69|100||1636120928.3189|||||||||
2021-11-05T14:02:08.7455000Z,T|118180||151.69|100||1636120928.7455|||||||||
2021-11-05T14:02:08.7455000Z,T|118185||151.69|100||1636120928.7455|||||||||
2021-11-05T14:02:10.6217000Z,T|118242||151.7|81||1636120930.6217|||||||||
2021-11-05T14:02:10.6217000Z,T|118244||151.7|81||1636120930.6217|||||||||
2021-11-05T14:02:10.6271000Z,T|118246||151.7|19||1636120930.6271|||||||||
2021-11-05T14:02:10.9143000Z,T|118273||151.7|55||1636120930.9143|||||||||
2021-11-05T14:02:12.3468000Z,T|118311||151.69|100||1636120932.3468|||||||||
2021-11-05T14:02:17.3864000Z,T|118501||151.7|100||1636120937.3864|||||||||
2021-11-05T14:02:17.3864000Z,T|118502||151.7|100||1636120937.3864|||||||||
2021-11-05T14:02:17.6798000Z,T|118525||151.7|100||1636120937.6798|||||||||
2021-11-05T14:02:17.7633000Z,T|118538||151.7|2||1636120937.7633|||||||||
2021-11-05T14:02:18.0252000Z,T|118567||151.71|3||1636120938.0252|||||||||
2021-11-05T14:02:18.0252000Z,T|118569||151.71|7||1636120938.0252|||||||||
2021-11-05T14:02:18.0252000Z,T|118571||151.71|80||1636120938.0252|||||||||
2021-11-05T14:02:18.0252000Z,T|118574||151.71|59||1636120938.0252|||||||||
2021-11-05T14:02:18.0252000Z,T|118584||151.71|100||1636120938.0252|||||||||
2021-11-05T14:02:18.0252000Z,T|118590||151.71|100||1636120938.0252|||||||||
2021-11-05T14:02:18.8153000Z,T|118656||151.71|100||1636120938.8153|||||||||
2021-11-05T14:02:19.1217000Z,T|118684||151.72|1||1636120939.1217|||||||||
2021-11-05T14:02:19.2005000Z,T|118708||151.72|3||1636120939.2005|||||||||
2021-11-05T14:02:21.9392000Z,T|118762||151.71|100||1636120941.9392|||||||||
2021-11-05T14:02:22.8900000Z,T|118805||151.7|100||1636120942.89|||||||||
2021-11-05T14:02:23.3463000Z,T|118827||151.7|100||1636120943.3463|||||||||
2021-11-05T14:02:25.3247000Z,T|118917||151.71|100||1636120945.3247|||||||||
2021-11-05T14:02:25.3247000Z,T|118919||151.71|100||1636120945.3247|||||||||
2021-11-05T14:02:25.3300000Z,T|118921||151.71|100||1636120945.33|||||||||
2021-11-05T14:02:25.4885000Z,T|118946||151.71|53||1636120945.4885|||||||||
2021-11-05T14:02:27.6509000Z,T|118983||151.72|49||1636120947.6509|||||||||
2021-11-05T14:02:27.6509000Z,T|118986||151.72|50||1636120947.6509|||||||||
2021-11-05T14:02:27.6562000Z,T|118989||151.72|47||1636120947.6562|||||||||
2021-11-05T14:02:27.6620000Z,T|118993||151.71|100||1636120947.662|||||||||
2021-11-05T14:02:27.6620000Z,T|118995||151.71|100||1636120947.662|||||||||
2021-11-05T14:02:27.6705000Z,T|119009||151.7|100||1636120947.6705|||||||||
2021-11-05T14:02:29.1149000Z,T|119079||151.71|100||1636120949.1149|||||||||
2021-11-05T14:02:30.0474000Z,T|119135||151.7|100||1636120950.0474|||||||||
2021-11-05T14:02:30.9217000Z,T|119173||151.71|100||1636120950.9217|||||||||
2021-11-05T14:02:30.9217000Z,T|119175||151.71|100||1636120950.9217|||||||||
2021-11-05T14:02:30.9527000Z,T|119206||151.71|100||1636120950.9527|||||||||
2021-11-05T14:02:30.9527000Z,T|119208||151.71|2||1636120950.9527|||||||||
2021-11-05T14:02:30.9527000Z,T|119224||151.72|400||1636120950.9527|||||||||
2021-11-05T14:02:30.9527000Z,T|119226||151.71|12||1636120950.9527|||||||||
2021-11-05T14:02:30.9944000Z,T|119249||151.71|100||1636120950.9944|||||||||
2021-11-05T14:02:31.5190000Z,T|119272||151.7|12||1636120951.519|||||||||
2021-11-05T14:02:31.9501000Z,T|119286||151.7|269||1636120951.9501|||||||||
2021-11-05T14:02:32.0451000Z,T|119313||151.7|100||1636120952.0451|||||||||
2021-11-05T14:02:34.3569000Z,T|119399||151.71|100||1636120954.3569|||||||||
2021-11-05T14:02:34.3569000Z,T|119401||151.71|100||1636120954.3569|||||||||
2021-11-05T14:02:36.0254000Z,T|119477||151.7|100||1636120956.0254|||||||||
2021-11-05T14:02:37.0196000Z,T|119542||151.68|100||1636120957.0196|||||||||
2021-11-05T14:02:37.0196000Z,T|119545||151.68|100||1636120957.0196|||||||||
2021-11-05T14:02:38.3245000Z,T|119620||151.67|100||1636120958.3245|||||||||
2021-11-05T14:02:41.6482000Z,T|119771||151.7|100||1636120961.6482|||||||||
2021-11-05T14:02:41.6482000Z,T|119773||151.7|100||1636120961.6482|||||||||
2021-11-05T14:02:41.6482000Z,T|119775||151.7|100||1636120961.6482|||||||||
