time_stamp,seconds,nanos,bid_size,bid_price,ask_price,ask_size,trade_price,trade_size,not_shown_book_ticks_before
2022-01-14 14:55:11.9286,1642172111,928600000,,,,,173.15,100,
2022-01-14 14:55:11.9286,1642172111,928600000,431,173.14,173.15,100,,,2
2022-01-14 14:55:11.9286,1642172111,928600000,,,,,173.15,100,
2022-01-14 14:55:11.9286,1642172111,928600000,200,173.13,173.15,100,,,3
2022-01-14 14:55:11.9286,1642172111,928600000,,,,,173.14,100,
2022-01-14 14:55:11.932,1642172111,932000000,100,173.14,173.15,201,,,37
2022-01-14 14:55:11.932,1642172111,932000000,,,,,173.14,100,
2022-01-14 14:55:11.932,1642172111,932000000,431,173.13,173.15,301,,,1
2022-01-14 14:55:11.932,1642172111,932000000,,,,,173.14,100,
2022-01-14 14:55:12.0022,1642172112,2200000,304,173.13,173.15,85,,,42
2022-01-14 14:55:12.0022,1642172112,2200000,,,,,173.15,15,
2022-01-14 14:55:12.0253,1642172112,25300000,304,173.13,173.15,100,,,9
2022-01-14 14:55:12.0253,1642172112,25300000,,,,,173.14,4,
2022-01-14 14:55:13.0796,1642172113,79600000,200,173.14,173.17,407,,,367
2022-01-14 14:55:13.0796,1642172113,79600000,,,,,173.16,4,
2022-01-14 14:55:13.0847,1642172113,84700000,104,173.15,173.17,304,,,17
2022-01-14 14:55:13.0847,1642172113,84700000,,,,,173.16,48,
2022-01-14 14:55:13.0847,1642172113,84700000,179,173.16,173.17,204,,,3
2022-01-14 14:55:13.0847,1642172113,84700000,,,,,173.16,21,
2022-01-14 14:55:13.0847,1642172113,84700000,79,173.16,173.17,204,,,1
2022-01-14 14:55:13.0847,1642172113,84700000,,,,,173.16,21,
2022-01-14 14:55:13.0847,1642172113,84700000,170,173.15,173.17,204,,,1
2022-01-14 14:55:13.0847,1642172113,84700000,,,,,173.16,79,
2022-01-14 14:55:13.2204,1642172113,220400000,404,173.14,173.17,204,,,32
2022-01-14 14:55:13.2204,1642172113,220400000,,,,,173.16,76,
2022-01-14 14:55:13.4395,1642172113,439500000,400,173.16,173.18,100,,,52
2022-01-14 14:55:13.4395,1642172113,439500000,,,,,173.17,4,
2022-01-14 14:55:13.4448,1642172113,444800000,300,173.17,173.19,525,,,5
2022-01-14 14:55:13.4448,1642172113,444800000,,,,,173.19,75,
2022-01-14 14:55:13.6804,1642172113,680400000,8,173.17,173.19,600,,,62
2022-01-14 14:55:13.6804,1642172113,680400000,,,,,173.18,8,
2022-01-14 14:55:13.6804,1642172113,680400000,8,173.17,173.19,801,,,3
2022-01-14 14:55:13.6804,1642172113,680400000,,,,,173.18,100,
2022-01-14 14:55:13.6804,1642172113,680400000,8,173.17,173.19,801,,,2
2022-01-14 14:55:13.6804,1642172113,680400000,,,,,173.18,47,
2022-01-14 14:55:14.4748,1642172114,474800000,300,173.17,173.2,1,,,132
2022-01-14 14:55:14.4748,1642172114,474800000,,,,,173.19,500,
2022-01-14 14:55:14.8231,1642172114,823100000,105,173.17,173.2,205,,,85
