Name,Ticker,Exchange,Primary,Country,Currency
Select Sector Spdr Trust Amex Industrial Select,XLI,BATS,XNYS,US,USD
Janus Henderson Sustainable Impact Core Bond Etf,JIB,BATS,XNYS,US,USD
Pacer Fds Tr Us Cash Cows Growth Etf,BUL,BATS,XNYS,US,USD
Proshares Trust Pshs Sh Msci Emr,EUM,BATS,XNYS,US,USD
Microsectors Fang Etn,FNGS,BATS,XNYS,US,USD
Dimensional International Core Equity Market Etf,DFAI,BATS,XNYS,US,USD
Ishares Trust SP 500 Growth Etf,IVW,BATS,XNYS,US,USD
Vaneck Preferred Securities Ex Financials Etf,PFXF,BATS,XNYS,US,USD
Direxion Daily Cloud Computing Bull 2X Shares,CLDL,BATS,XNYS,US,USD
Advisorshares Trust Star Global Buy-Write Etf,VEGA,BATS,XNYS,US,USD
Exchange Listed Funds Trust Qraft Ai Enhanced Us Large Cap Etf,QRFT,BATS,XNYS,US,USD
Ishares Us Etf Trust Bloomberg Rol Select Comdty Strategy Etf,CMDY,BATS,XNYS,US,USD
First Tr Exchange Traded Fd Iv North Amern Energy Infrastr,EMLP,BATS,XNYS,US,USD
Wisdomtree Trust Chinese Yuan Strategy Fd Usd0001,CYB,BATS,XNYS,US,USD
Franklin Etf Tr Liberty Short Duration U S Govt Etf,FTSD,BATS,XNYS,US,USD
Vaneck Israel Etf,ISRA,BATS,XNYS,US,USD
Invesco Db Multi-Sector Comm Tr Gold Fd Etf,DGL,BATS,XNYS,US,USD
Wedbush Etfmg Video Game Tech Etf,GAMR,BATS,XNYS,US,USD
Etc 6 Meridian Quality Growth Etf,SXQG,BATS,XNYS,US,USD
Direxion Shares Etf Trust Daily Ftse China Bull 3X ShsRev Split,YINN,BATS,XNYS,US,USD
Jacob Forward Etf,JFWD,BATS,XNYS,US,USD
Spdr Series Trust Spdr SP Dividend Etf,SDY,BATS,XNYS,US,USD
Fidelity Sustainable Core Plus Bond Etf,FSBD,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP 500 Eql Wgt Consumer Discretion Etf,RCD,BATS,XNYS,US,USD
Ishares Inc Msci Taiwan Etf,EWT,BATS,XNYS,US,USD
Janus Henderson Net Zero Transition Resources Etf,JZRO,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr SP Midcap 400 Eql Wgt Etf,EWMC,BATS,XNYS,US,USD
Pimco Etf Trust 25 Yr Zero Cpn Us Treas Index Fd Etf,ZROZ,BATS,XNYS,US,USD
First Trust Exch Traded Fund 2 Energy Alphadex Fd Usd,FXN,BATS,XNYS,US,USD
Ishares Trust Global Energy Etf,IXC,BATS,XNYS,US,USD
