Name,Ticker,Exchange,Primary,Index,Isin,Cusip,Sedol
Prodways Group,PWG,XPAR,XPAR,[],FR0012613610,F7329W102,BYPDV64
Credit Agricole Brie Picardie,CRBP2,XPAR,XPAR,[],FR0010483768,F1439Z113,B1YGZL6
Somfy Sa,SO,XPAR,XPAR,[],FR0013199916,F8612B102,BYXKN05
Ses SA,SESG,XPAR,XPAR,['Euro Stoxx 600'],LU0088087324,L8300G135,B00ZQQ2
Seche Environnement,SCHP,XPAR,XPAR,[],FR0000039109,F8211M103,5366837
Biomerieux SA,BIM,XPAR,XPAR,['Euro Stoxx 600'],FR0013280286,,BF0LBX7
Cbo Territoria SA,CBOT,XPAR,XPAR,[],FR0010193979,F1524G103,B08TZN6
Aubay Sa,AUB,XPAR,XPAR,[],FR0000063737,F0483W109,5997323
Guillemot Corp Sa,GUI,XPAR,XPAR,[],FR0000066722,,5916425
Vinci SA,DG,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600', 'Russell 1000', 'Russell 3000', 'Snp 500']",FR0000125486,F5879X108,B1XH026
Metropole Television,MMT,XPAR,XPAR,[],FR0000053225,F62379114,5993901
Lvmh Moet Hennessy Louis Vuitton SA,MC,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000121014,F58485115,4061412
Francaise De LEnergie,FDE,XPAR,XPAR,[],FR0013030152,F39167105,BZ1FF70
Ipsen SA,IPN,XPAR,XPAR,['Euro Stoxx 600'],FR0010259150,F5362H107,B0R7JF1
Spie SA,SPIE,XPAR,XPAR,['Euro Stoxx 600'],FR0012757854,F8691R101,BYZFYS3
Wavestone Sa,WAVE,XPAR,XPAR,[],FR0013357621,F98323102,BF1HKP9
Dassault Systemes Se,DSY,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0014003TT8,F24571451,BM8H5Y5
Ubisoft Entertainment SA,UBI,XPAR,XPAR,['Euro Stoxx 600'],FR0000054470,F9396N106,B1L3CS6
Accor Sa,AC,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000120404,F00189120,5852842
Caisse Reg Credit Agric Mut Nord France,CNF,XPAR,XPAR,[],FR0000185514,F9220X106,B0VTSP6
Savencia Sa,SAVE,XPAR,XPAR,[],FR0000120107,,4356925
Bnp Paribas SA,BNP,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000131104,F1058Q238,7309681
Societe Bic,BB,XPAR,XPAR,['Euro Stoxx 600'],FR0000120966,F10080103,5298781
Robertet Ci,CBE,XPAR,XPAR,[],FR0000045601,F78649104,4899583
Maisons Du Monde Sa,MDM,XPAR,XPAR,[],FR0013153541,F59463103,BYY8LS2
Coface Sa,COFA,XPAR,XPAR,[],FR0010667147,F22736106,BNFWV75
Danone SA,BN,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120644,F12033134,B1Y9TB3
Transgene Sa,TNG,XPAR,XPAR,[],FR0005175080,F92641111,5429075
Ovh Groupe Sa,OVH,XPAR,XPAR,[],FR0014005HJ9,F97637106,BLPLBD4
Olympique Lyonnais Groupe Sa,OLG,XPAR,XPAR,[],FR0010428771,F67262109,B1PMPV3
Roche Bobois SA,RBO,XPAR,XPAR,[],FR0013344173,,BD2YZP0
Segro Plc,SGRO,XPAR,XPAR,"['Euro Stoxx 600', 'Ftse 100', 'Ftse 350']",GB00B5ZN1N88,G80277141,B3YP829
Adux Sa,ADUX,XPAR,XPAR,[],FR0012821890,F4816V218,BYZR025
Societe Marseillaise Du Tunnel Prado-Carenage,SMTPC,XPAR,XPAR,[],FR0004016699,,B1KPV64
Credit Agricole SA,ACA,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000045072,F22797108,7262610
Id Logistics Sas,IDL,XPAR,XPAR,[],FR0010929125,F50685100,B4RFDT5
Esso Saf,ES,XPAR,XPAR,"['Russell 1000', 'Russell 3000', 'Snp 500']",FR0000120669,F31710100,4320986
Vicat SA,VCT,XPAR,XPAR,[],FR0000031775,F18060107,5763201
Peugeot Invest Sa,PEUG,XPAR,XPAR,[],FR0000064784,F7300Q108,4344072
Vilmorin Cie,RIN,XPAR,XPAR,[],FR0000052516,F9768K102,B0WM393
Valneva Se,VLA,XPAR,XPAR,[],FR0004056851,F9635C101,B03KGM0
Nexans Sa,NEX,XPAR,XPAR,[],FR0000044448,F65277109,7130836
Erytech Pharma Sa,ERYP,XPAR,XPAR,[],FR0011471135,F3417Z115,B95J1X4
Alten Sa,ATE,XPAR,XPAR,['Euro Stoxx 600'],FR0000071946,F02626103,5608915
Avenir Telecom SA,AVT,XPAR,XPAR,[],,F0589A100,BMXN2W5
Vetoquinol Sa,VETO,XPAR,XPAR,[],FR0004186856,F97121101,B1GN292
Haulotte Group Sa,PIG,XPAR,XPAR,[],FR0000066755,F4752U109,5968846
Safran Sa,SAF,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000073272,F4035A557,B058TZ6
